id,base_id,attribute,truth,truth_source,prediction,baseline,correct,needs_evidence,current_value,base_value,preferred_sources,layer,query,priority,priority_bucket,case_type_guess,identity_label_guess,website_label_guess,difficulty
08f08ed358889889037e291e52eb62a5,5c66ffcdc876c8002c90b10e,website,http://www.fullsteam.no/,current,http://www.full-steam.no,hybrid,False,True,http://www.fullsteam.no/,http://www.full-steam.no,"official_site,government,business_registry",official,-site:yelp.com -site:tripadvisor.com -site:facebook.com -site:instagram.com -site:doordash.com -site:ubereats.com -site:grubhub.com,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f08ed358889889037e291e52eb62a5,5c66ffcdc876c8002c90b10e,website,http://www.fullsteam.no/,current,http://www.full-steam.no,hybrid,False,True,http://www.fullsteam.no/,http://www.full-steam.no,"official_site,government,business_registry",official,intitle:  contact OR locations -site:yelp.com -site:tripadvisor.com -site:facebook.com -site:instagram.com -site:doordash.com -site:ubereats.com -site:grubhub.com,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f08ed358889889037e291e52eb62a5,5c66ffcdc876c8002c90b10e,website,http://www.fullsteam.no/,current,http://www.full-steam.no,hybrid,False,True,http://www.fullsteam.no/,http://www.full-steam.no,"official_site,government,business_registry",official,inurl:locations   contact,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f08ed358889889037e291e52eb62a5,5c66ffcdc876c8002c90b10e,website,http://www.fullsteam.no/,current,http://www.full-steam.no,hybrid,False,True,http://www.fullsteam.no/,http://www.full-steam.no,"official_site,government,business_registry",official,official website -site:yelp.com -site:tripadvisor.com -site:facebook.com -site:instagram.com -site:doordash.com -site:ubereats.com -site:grubhub.com,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f08ed358889889037e291e52eb62a5,5c66ffcdc876c8002c90b10e,website,http://www.fullsteam.no/,current,http://www.full-steam.no,hybrid,False,True,http://www.fullsteam.no/,http://www.full-steam.no,"official_site,government,business_registry",official,site:.gov   business license OR registry,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f08ed358889889037e291e52eb62a5,5c66ffcdc876c8002c90b10e,website,http://www.fullsteam.no/,current,http://www.full-steam.no,hybrid,False,True,http://www.fullsteam.no/,http://www.full-steam.no,"official_site,government,business_registry",official,site:bbb.org,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f11aa78c7ad0e5034e75b4b7abd882,6063116f01db685d4fd4fd05,website,https://goo.gl/3Y9yAj,current,http://abexlege.ru,hybrid,False,True,https://goo.gl/3Y9yAj,http://abexlege.ru,"official_site,government,business_registry",official,-site:yelp.com -site:tripadvisor.com -site:facebook.com -site:instagram.com -site:doordash.com -site:ubereats.com -site:grubhub.com,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f11aa78c7ad0e5034e75b4b7abd882,6063116f01db685d4fd4fd05,website,https://goo.gl/3Y9yAj,current,http://abexlege.ru,hybrid,False,True,https://goo.gl/3Y9yAj,http://abexlege.ru,"official_site,government,business_registry",official,intitle:  contact OR locations -site:yelp.com -site:tripadvisor.com -site:facebook.com -site:instagram.com -site:doordash.com -site:ubereats.com -site:grubhub.com,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f11aa78c7ad0e5034e75b4b7abd882,6063116f01db685d4fd4fd05,website,https://goo.gl/3Y9yAj,current,http://abexlege.ru,hybrid,False,True,https://goo.gl/3Y9yAj,http://abexlege.ru,"official_site,government,business_registry",official,inurl:locations   contact,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f11aa78c7ad0e5034e75b4b7abd882,6063116f01db685d4fd4fd05,website,https://goo.gl/3Y9yAj,current,http://abexlege.ru,hybrid,False,True,https://goo.gl/3Y9yAj,http://abexlege.ru,"official_site,government,business_registry",official,official website -site:yelp.com -site:tripadvisor.com -site:facebook.com -site:instagram.com -site:doordash.com -site:ubereats.com -site:grubhub.com,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f11aa78c7ad0e5034e75b4b7abd882,6063116f01db685d4fd4fd05,website,https://goo.gl/3Y9yAj,current,http://abexlege.ru,hybrid,False,True,https://goo.gl/3Y9yAj,http://abexlege.ru,"official_site,government,business_registry",official,site:.gov   business license OR registry,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f11aa78c7ad0e5034e75b4b7abd882,6063116f01db685d4fd4fd05,website,https://goo.gl/3Y9yAj,current,http://abexlege.ru,hybrid,False,True,https://goo.gl/3Y9yAj,http://abexlege.ru,"official_site,government,business_registry",official,site:bbb.org,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f12d87937886ed03cf23f162e10f02,73e0680838c84d080d1faa86,website,https://www.edwardjones.com/zach-hull,current,http://www.edwardjones.com,hybrid,False,True,https://www.edwardjones.com/zach-hull,http://www.edwardjones.com,"official_site,government,business_registry",official,-site:yelp.com -site:tripadvisor.com -site:facebook.com -site:instagram.com -site:doordash.com -site:ubereats.com -site:grubhub.com,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f12d87937886ed03cf23f162e10f02,73e0680838c84d080d1faa86,website,https://www.edwardjones.com/zach-hull,current,http://www.edwardjones.com,hybrid,False,True,https://www.edwardjones.com/zach-hull,http://www.edwardjones.com,"official_site,government,business_registry",official,intitle:  contact OR locations -site:yelp.com -site:tripadvisor.com -site:facebook.com -site:instagram.com -site:doordash.com -site:ubereats.com -site:grubhub.com,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f12d87937886ed03cf23f162e10f02,73e0680838c84d080d1faa86,website,https://www.edwardjones.com/zach-hull,current,http://www.edwardjones.com,hybrid,False,True,https://www.edwardjones.com/zach-hull,http://www.edwardjones.com,"official_site,government,business_registry",official,inurl:locations   contact,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f12d87937886ed03cf23f162e10f02,73e0680838c84d080d1faa86,website,https://www.edwardjones.com/zach-hull,current,http://www.edwardjones.com,hybrid,False,True,https://www.edwardjones.com/zach-hull,http://www.edwardjones.com,"official_site,government,business_registry",official,official website -site:yelp.com -site:tripadvisor.com -site:facebook.com -site:instagram.com -site:doordash.com -site:ubereats.com -site:grubhub.com,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f12d87937886ed03cf23f162e10f02,73e0680838c84d080d1faa86,website,https://www.edwardjones.com/zach-hull,current,http://www.edwardjones.com,hybrid,False,True,https://www.edwardjones.com/zach-hull,http://www.edwardjones.com,"official_site,government,business_registry",official,site:.gov   business license OR registry,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f12d87937886ed03cf23f162e10f02,73e0680838c84d080d1faa86,website,https://www.edwardjones.com/zach-hull,current,http://www.edwardjones.com,hybrid,False,True,https://www.edwardjones.com/zach-hull,http://www.edwardjones.com,"official_site,government,business_registry",official,site:bbb.org,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f12db34575e253037b6f6469146181,5058991a5d24dabaa9bc716a,website,https://www.coinstar.com/kiosk-info?KioskId=23403,current,http://www.coinstar.com,hybrid,False,True,https://www.coinstar.com/kiosk-info?KioskId=23403,http://www.coinstar.com,"official_site,government,business_registry",official,-site:yelp.com -site:tripadvisor.com -site:facebook.com -site:instagram.com -site:doordash.com -site:ubereats.com -site:grubhub.com,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
08f12db34575e253037b6f6469146181,5058991a5d24dabaa9bc716a,website,https://www.coinstar.com/kiosk-info?KioskId=23403,current,http://www.coinstar.com,hybrid,False,True,https://www.coinstar.com/kiosk-info?KioskId=23403,http://www.coinstar.com,"official_site,government,business_registry",official,intitle:  contact OR locations -site:yelp.com -site:tripadvisor.com -site:facebook.com -site:instagram.com -site:doordash.com -site:ubereats.com -site:grubhub.com,baseline_wrong,P0_WEBSITE_BASELINE_WRONG,WEBSITE_BASELINE_WRONG,,AMBIGUOUS_WEBSITE,HARD
